DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
24Q013,Elementary School,P.S. 013 Clement C. Moore,88%,76%,N/A,91%,81%,91%,77%,96%,94%,89%,N/A,90%
24Q014,Elementary School,P.S. 014 Fairview,33%,64%,N/A,91%,81%,93%,78%,91%,94%,89%,N/A,90%
24Q016,Elementary School,P.S. Q016 The Nancy DeBenedittis School,70%,99%,N/A,91%,86%,92%,86%,94%,91%,94%,N/A,90%
24Q019,Elementary School,P.S. 019 Marino Jeantet,93%,89%,N/A,86%,77%,80%,81%,92%,92%,90%,N/A,86%
24Q028,Early Childhood,P.S. 28 - The Thomas Emanuel Early Childhood Center,83%,93%,N/A,95%,84%,89%,88%,99%,98%,95%,N/A,93%
24Q049,Elementary/Middle,P.S. 049 Dorothy Bonawit Kole,86%,78%,93%,93%,86%,92%,81%,88%,94%,91%,85%,93%
24Q058,Elementary School,P.S. 58 - School of Heroes,64%,79%,99%,72%,57%,86%,79%,91%,76%,92%,88%,72%
24Q061,Middle School,I.S. 061 Leonardo Da Vinci,78%,48%,94%,85%,78%,85%,74%,87%,90%,86%,86%,85%
24Q068,Elementary School,P.S. 068 Cambridge,67%,80%,N/A,84%,75%,86%,78%,91%,89%,93%,N/A,83%
24Q071,Elementary School,P.S. 071 Forest,56%,65%,N/A,91%,84%,93%,84%,95%,95%,92%,N/A,91%
24Q073,Middle School,I.S. 73 - The Frank Sansivieri Intermediate School,49%,74%,93%,86%,79%,85%,71%,79%,91%,86%,76%,87%
24Q077,Middle School,I.S. 077,52%,95%,93%,90%,81%,81%,69%,82%,91%,83%,80%,89%
24Q081,Elementary School,P.S. 81Q Jean Paul Richter,84%,100%,N/A,88%,84%,86%,81%,91%,94%,92%,N/A,88%
24Q087,Elementary/Middle,P.S. / I.S. 087 Middle Village,29%,46%,95%,71%,59%,90%,84%,88%,80%,90%,88%,69%
24Q088,Elementary School,P.S. 088 Seneca,30%,70%,N/A,93%,82%,89%,84%,94%,95%,92%,N/A,91%
24Q089,Elementary School,P.S. 089 Elmhurst,93%,94%,N/A,82%,76%,84%,79%,87%,88%,91%,N/A,81%
24Q091,Elementary School,P.S. 091 Richard Arkwright,33%,46%,N/A,90%,80%,94%,83%,90%,94%,91%,N/A,89%
24Q093,Middle School,I.S. 093 Ridgewood,47%,97%,97%,81%,73%,84%,71%,84%,90%,88%,83%,81%
24Q102,Elementary/Middle,P.S. 102 Bayview,34%,98%,97%,89%,82%,91%,80%,94%,91%,91%,92%,88%
24Q110,Early Childhood,PS 110,60%,81%,N/A,82%,76%,83%,90%,94%,85%,94%,N/A,80%
24Q113,Elementary/Middle,P.S./I.S. 113 Anthony J. Pranzo,86%,98%,95%,93%,87%,94%,80%,92%,92%,92%,90%,93%
24Q119,Elementary/Middle,I.S. 119 The Glendale,37%,79%,97%,87%,83%,89%,75%,84%,87%,86%,82%,87%
24Q125,Middle School,I.S. 125 Thom J. McCann Woodside,66%,95%,92%,91%,84%,90%,73%,88%,93%,88%,86%,91%
24Q128,Elementary/Middle,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",47%,48%,96%,90%,83%,94%,86%,86%,92%,93%,82%,91%
24Q143,Elementary School,P.S. 143 Louis Armstrong,21%,76%,N/A,77%,61%,83%,81%,87%,86%,92%,N/A,76%
24Q153,Elementary School,P.S. 153 Maspeth Elem,80%,91%,99%,92%,87%,91%,83%,93%,94%,92%,92%,92%
24Q199,Elementary School,P.S. 199 Maurice A. Fitzgerald,77%,97%,N/A,84%,77%,85%,78%,92%,91%,92%,N/A,84%
24Q211,Early Childhood,Elm Tree Elementary School,79%,100%,N/A,91%,89%,90%,80%,96%,96%,91%,N/A,92%
24Q229,Elementary School,P.S. 229 Emanuel Kaplan,63%,98%,N/A,93%,87%,87%,82%,95%,97%,92%,N/A,92%
24Q236,High School,International High School for Health Sciences,50%,100%,91%,99%,97%,97%,82%,90%,98%,93%,90%,99%
24Q239,Elementary School,P.S. 239,81%,91%,N/A,86%,79%,83%,79%,87%,94%,91%,N/A,85%
24Q264,High School,Academy of Finance and Enterprise,94%,100%,95%,89%,83%,83%,76%,87%,92%,88%,84%,88%
24Q267,High School,High School of Applied Communication,17%,100%,90%,92%,88%,93%,75%,83%,93%,87%,82%,93%
24Q290,Elementary School,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,53%,96%,N/A,88%,75%,90%,83%,94%,89%,93%,N/A,86%
24Q293,High School,Civic Leadership Academy,58%,91%,96%,90%,81%,85%,73%,90%,89%,90%,89%,85%
24Q296,High School,Pan American International High School,38%,70%,90%,87%,75%,90%,88%,87%,89%,94%,86%,83%
24Q299,High School,Bard High School Early College Queens,50%,81%,66%,88%,91%,94%,74%,92%,92%,91%,91%,90%
24Q305,Early Childhood,Learners and Leaders,64%,70%,N/A,94%,91%,92%,89%,95%,97%,94%,N/A,94%
24Q307,Elementary School,Pioneer Academy,100%,73%,N/A,86%,78%,89%,83%,93%,88%,91%,N/A,86%
24Q311,Middle School,Corona Arts and Sciences Academy,88%,79%,95%,98%,96%,98%,80%,89%,96%,90%,88%,99%
24Q330,Elementary School,P.S. 330,82%,50%,N/A,87%,81%,89%,82%,92%,90%,92%,N/A,87%
24Q343,Early Childhood,The Children's Lab School,80%,100%,N/A,92%,94%,91%,89%,100%,94%,97%,N/A,93%
24Q455,High School,Newtown High School,44%,80%,75%,93%,88%,90%,70%,85%,93%,84%,84%,93%
24Q457,YABC,HS Arts & Business Yabc,13%,75%,40%,97%,94%,95%,78%,92%,94%,85%,92%,96%
24Q485,High School,Grover Cleveland High School,23%,53%,56%,75%,63%,82%,68%,77%,83%,84%,75%,74%
24Q520,High School,Middle College High School at LaGuardia Community College,35%,71%,71%,88%,86%,94%,72%,87%,94%,89%,85%,90%
24Q530,High School,International High School at LaGuardia Community College,56%,84%,89%,98%,96%,96%,88%,94%,98%,95%,94%,98%
24Q550,High School,High School for Arts and Business,35%,77%,94%,94%,89%,92%,76%,90%,93%,90%,88%,93%
24Q560,Middle/High,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",35%,94%,86%,90%,86%,91%,68%,87%,91%,84%,85%,91%
24Q585,High School,Maspeth High School,14%,68%,78%,86%,82%,78%,70%,84%,85%,87%,82%,83%
24Q600,High School,Queens Vocational and Technical High School,19%,86%,88%,90%,84%,89%,71%,82%,91%,85%,80%,90%
24Q610,High School,Aviation Career & Technical Education High School,13%,63%,89%,90%,86%,89%,70%,83%,91%,87%,80%,90%
24Q744,Transfer High School,VOYAGES Preparatory,12%,87%,75%,94%,93%,87%,72%,92%,96%,92%,91%,92%
24Q877,Elementary School,The 51 Avenue Academy (The Path To Academic Excellence),87%,95%,N/A,91%,83%,91%,76%,97%,93%,91%,N/A,91%
25Q020,Elementary School,P.S. 020 John Bowne,65%,39%,N/A,89%,83%,89%,81%,91%,93%,92%,N/A,88%
25Q021,Elementary School,P.S. 021 Edward Hart,100%,96%,N/A,94%,87%,90%,82%,94%,95%,93%,N/A,92%
25Q022,Elementary School,P.S. 022 Thomas Jefferson,64%,85%,N/A,91%,87%,93%,84%,94%,93%,94%,N/A,90%
25Q024,Elementary School,P.S. 024 Andrew Jackson,73%,91%,N/A,87%,75%,89%,82%,93%,87%,94%,N/A,85%
25Q025,Middle School,I.S. 025 Adrien Block,86%,96%,90%,85%,75%,87%,69%,85%,87%,83%,81%,85%
25Q029,Elementary School,P.S. 029 Queens,65%,92%,N/A,92%,83%,95%,82%,97%,94%,92%,N/A,92%
25Q032,Elementary School,P.S. 032 State Street,76%,100%,N/A,97%,94%,94%,88%,95%,98%,95%,N/A,96%
25Q079,Elementary School,P.S. 079 Francis Lewis,57%,91%,N/A,97%,91%,96%,85%,99%,97%,93%,N/A,97%
25Q107,Elementary School,P.S. 107 Thomas A Dooley,42%,68%,N/A,80%,65%,82%,85%,91%,83%,92%,N/A,79%
25Q120,Elementary School,P.S. 120 Queens,64%,93%,N/A,83%,76%,91%,76%,93%,84%,91%,N/A,83%
25Q129,Elementary School,P.S. 129 Patricia Larkin,57%,76%,N/A,97%,94%,94%,85%,97%,98%,95%,N/A,96%
25Q130,Early Childhood,P.S. 130,58%,70%,N/A,97%,91%,99%,89%,99%,98%,95%,N/A,96%
25Q154,Elementary School,P.S. 154 Queens,53%,62%,N/A,91%,89%,96%,83%,96%,94%,92%,N/A,93%
25Q163,Elementary School,P.S. 163 Flushing Heights,70%,92%,N/A,95%,90%,94%,81%,95%,98%,92%,N/A,95%
25Q164,Elementary/Middle,P.S. 164 Queens Valley,54%,63%,88%,88%,76%,89%,79%,83%,89%,91%,81%,86%
25Q165,Elementary School,P.S. 165 Edith K. Bergtraum,77%,61%,N/A,80%,66%,90%,82%,92%,80%,91%,N/A,78%
25Q169,Elementary School,P.S. 169 Bay Terrace,77%,100%,N/A,98%,92%,97%,88%,95%,97%,93%,N/A,97%
25Q184,Elementary School,P.S. 184 Flushing Manor,76%,90%,N/A,98%,94%,98%,87%,99%,99%,95%,N/A,98%
25Q185,Middle School,J.H.S. 185 Edward Bleeker,72%,68%,93%,92%,87%,89%,71%,87%,93%,88%,85%,91%
25Q189,Middle School,J.H.S. 189 Daniel Carter Beard,88%,88%,95%,94%,88%,94%,69%,88%,90%,84%,87%,93%
25Q193,Elementary School,P.S. 193 Alfred J. Kennedy,60%,69%,N/A,95%,88%,98%,86%,99%,93%,90%,N/A,95%
25Q194,Middle School,J.H.S. 194 William Carr,42%,76%,97%,84%,77%,86%,75%,82%,87%,88%,78%,84%
25Q200,Elementary/Middle,PS/MS 200 - The Pomonok School & STAR Academy,61%,95%,98%,92%,88%,89%,83%,78%,91%,91%,74%,92%
25Q201,Elementary School,P.S. 201 The Discovery School for Inquiry and Research,68%,88%,N/A,83%,75%,90%,84%,92%,89%,93%,N/A,84%
25Q209,Elementary School,P.S. 209 Clearview Gardens,100%,97%,N/A,98%,91%,95%,84%,97%,96%,92%,N/A,97%
25Q214,Elementary School,P.S. 214 Cadwallader Colden,60%,68%,N/A,90%,86%,89%,83%,95%,92%,95%,N/A,89%
25Q219,Elementary/Middle,P.S. 219 Paul Klapper,25%,55%,96%,86%,82%,91%,78%,90%,88%,91%,88%,85%
25Q237,Middle School,I.S. 237,73%,90%,99%,78%,71%,78%,66%,78%,83%,84%,77%,76%
25Q240,High School,Veritas Academy,39%,100%,97%,97%,96%,92%,70%,81%,92%,85%,77%,98%
25Q241,High School,Queens High School for Language Studies,74%,100%,91%,95%,98%,93%,74%,94%,96%,91%,93%,96%
25Q242,Early Childhood,P.S. 242 Leonard P. Stavisky Early Childhood School,48%,94%,N/A,92%,70%,93%,85%,99%,86%,95%,N/A,82%
25Q244,Early Childhood,The Active Learning Elementary School,74%,100%,N/A,96%,94%,88%,87%,99%,98%,95%,N/A,95%
25Q250,Middle School,I.S. 250 The Robert F. Kennedy Community Middle School,62%,93%,95%,79%,73%,80%,71%,85%,87%,89%,85%,77%
25Q252,Middle/High,"Queens School of Inquiry, The",47%,100%,97%,87%,82%,81%,73%,85%,89%,87%,83%,86%
25Q263,High School,Flushing International High School,77%,100%,89%,98%,98%,93%,75%,90%,96%,90%,89%,98%
25Q281,Middle/High,East-West School of International Studies,48%,96%,93%,88%,85%,89%,74%,84%,91%,90%,82%,89%
25Q285,Middle/High,World Journalism Preparatory: A College Board School,45%,95%,74%,92%,85%,92%,76%,83%,91%,88%,78%,93%
25Q294,Middle School,BELL Academy,62%,96%,97%,90%,91%,92%,80%,83%,91%,92%,80%,92%
25Q425,High School,John Bowne High School,16%,87%,65%,89%,81%,87%,66%,78%,86%,78%,76%,89%
25Q460,High School,Flushing High School,29%,54%,60%,80%,57%,81%,61%,75%,76%,74%,74%,73%
25Q467,YABC,Flushing Yabc,11%,82%,67%,95%,91%,90%,72%,84%,94%,87%,82%,95%
25Q499,Elementary/Middle,"The Queens College School for Math, Science and Technology",65%,78%,98%,80%,74%,87%,87%,84%,86%,93%,80%,81%
25Q525,High School,Townsend Harris High School,35%,79%,89%,84%,85%,87%,71%,91%,92%,91%,88%,86%
25Q540,Transfer High School,Queens Academy High School,10%,76%,50%,71%,56%,92%,65%,82%,79%,81%,82%,70%
25Q670,High School,Robert F. Kennedy Community High School,35%,98%,83%,90%,89%,84%,73%,83%,92%,86%,81%,90%
25Q792,Transfer High School,North Queens Community High School,57%,100%,73%,93%,89%,86%,77%,84%,93%,87%,82%,92%
26Q018,Elementary School,P.S. 018 Winchester,53%,97%,N/A,98%,92%,95%,87%,99%,98%,94%,N/A,97%
26Q026,Elementary School,P.S. 026 Rufus King,49%,84%,N/A,84%,70%,91%,82%,95%,87%,92%,N/A,83%
26Q031,Elementary School,P.S. 031 Bayside,54%,67%,N/A,93%,88%,96%,85%,95%,95%,93%,N/A,93%
26Q041,Elementary School,P.S. 041 Crocheron,81%,100%,N/A,98%,96%,96%,91%,99%,99%,96%,N/A,98%
26Q046,Elementary School,P.S. 046 Alley Pond,47%,80%,N/A,97%,96%,95%,86%,97%,98%,94%,N/A,97%
26Q067,Middle School,J.H.S. 067 Louis Pasteur,31%,63%,98%,87%,73%,87%,73%,83%,83%,85%,79%,84%
26Q074,Middle School,J.H.S. 074 Nathaniel Hawthorne,72%,97%,98%,87%,87%,85%,73%,85%,88%,87%,83%,88%
26Q094,Elementary School,P.S. 094 David D. Porter,70%,80%,N/A,95%,81%,95%,90%,98%,93%,92%,N/A,94%
26Q098,Elementary School,P.S. 098 The Douglaston School,37%,87%,N/A,96%,85%,95%,90%,99%,96%,92%,N/A,96%
26Q115,Elementary School,P.S. 115 Glen Oaks,43%,67%,N/A,89%,81%,92%,82%,97%,92%,92%,N/A,88%
26Q133,Elementary School,P.S. 133 Queens,43%,58%,N/A,95%,92%,96%,85%,98%,95%,93%,N/A,96%
26Q158,Middle School,M.S. 158 Marie Curie,50%,63%,99%,91%,85%,88%,72%,83%,90%,85%,80%,91%
26Q159,Elementary School,P.S. 159,62%,90%,N/A,95%,90%,97%,86%,97%,93%,93%,N/A,95%
26Q162,Elementary School,P.S. 162 John Golden,58%,81%,N/A,91%,85%,95%,81%,96%,89%,90%,N/A,91%
26Q172,Middle School,Irwin Altman Middle School 172,51%,57%,96%,79%,68%,86%,73%,82%,82%,85%,79%,79%
26Q173,Elementary School,P.S. 173 Fresh Meadows,89%,100%,N/A,93%,81%,91%,85%,94%,96%,94%,N/A,91%
26Q178,Elementary/Middle,P.S./ IS 178 Holliswood,54%,81%,96%,93%,84%,93%,85%,86%,90%,91%,83%,91%
26Q186,Elementary School,P.S. 186 Castlewood,62%,85%,N/A,79%,61%,89%,89%,95%,79%,92%,N/A,77%
26Q188,Elementary School,P.S. 188 Kingsbury,54%,66%,N/A,93%,91%,89%,91%,98%,94%,94%,N/A,93%
26Q191,Elementary School,P.S. 191 Mayflower,90%,96%,N/A,94%,90%,95%,84%,97%,97%,94%,N/A,94%
26Q203,Elementary School,P.S. 203 Oakland Gardens,77%,80%,N/A,93%,88%,91%,84%,97%,92%,91%,N/A,93%
26Q205,Elementary School,P.S. 205 Alexander Graham Bell,60%,85%,N/A,91%,84%,94%,90%,99%,91%,93%,N/A,92%
26Q213,Elementary School,P.S. 213 The Carl Ullman School,42%,61%,N/A,87%,79%,89%,87%,98%,92%,94%,N/A,88%
26Q216,Middle School,J.H.S. 216 George J. Ryan,32%,82%,99%,85%,81%,88%,75%,85%,86%,90%,83%,85%
26Q221,Elementary School,P.S. 221 The North Hills School,78%,100%,N/A,98%,91%,96%,84%,97%,98%,94%,N/A,97%
26Q266,Elementary/Middle,P.S. / I.S. 266,66%,52%,95%,88%,87%,89%,84%,86%,90%,91%,82%,90%
26Q315,High School,Business Technology Early College High School,63%,100%,90%,98%,98%,90%,84%,87%,96%,93%,85%,98%
26Q415,High School,Benjamin N. Cardozo High School,11%,49%,70%,86%,80%,87%,66%,81%,89%,83%,78%,86%
26Q430,High School,Francis Lewis High School,35%,91%,83%,91%,85%,88%,67%,90%,92%,85%,89%,90%
26Q435,High School,Martin Van Buren High School,13%,95%,74%,83%,76%,84%,72%,74%,84%,85%,72%,82%
26Q495,High School,Bayside High School,19%,86%,88%,85%,77%,84%,66%,79%,86%,83%,77%,84%
26Q566,High School,"Queens High School of Teaching, Liberal Arts and the Sciences",25%,87%,84%,77%,75%,79%,74%,80%,85%,91%,76%,77%
27Q042,Elementary/Middle,P.S./M.S 042 R. Vernam,18%,100%,93%,86%,77%,90%,84%,90%,89%,90%,90%,84%
27Q043,Elementary/Middle,P.S. 043,37%,63%,58%,70%,61%,85%,76%,83%,75%,88%,81%,68%
27Q045,Elementary School,P.S. 045 Clarence Witherspoon,22%,72%,93%,57%,34%,83%,79%,73%,71%,84%,83%,53%
27Q047,Elementary/Middle,P.S. 047 Chris Galas,91%,86%,100%,95%,86%,95%,88%,92%,96%,94%,90%,95%
27Q051,Early Childhood,P.S. 051,81%,94%,N/A,92%,85%,96%,89%,99%,94%,94%,N/A,92%
27Q053,Middle School,M.S. 053 Brian Piccolo,58%,100%,91%,86%,76%,88%,76%,88%,89%,88%,90%,83%
27Q056,Elementary School,P.S. 056 Harry Eichler,64%,100%,N/A,92%,92%,91%,85%,95%,97%,94%,N/A,93%
27Q060,Elementary School,P.S. 060 Woodhaven,53%,53%,N/A,91%,82%,89%,84%,93%,91%,91%,N/A,89%
27Q062,Elementary School,P. S. 62 - Chester Park School,96%,89%,N/A,87%,82%,90%,82%,96%,93%,92%,N/A,89%
27Q063,Elementary School,P.S. 063 Old South,60%,82%,N/A,89%,78%,91%,80%,93%,90%,89%,N/A,87%
27Q064,Elementary School,P.S. 064 Joseph P. Addabbo,79%,95%,N/A,96%,91%,97%,84%,98%,98%,93%,N/A,96%
27Q065,Elementary School,P.S. 65 - The Raymond York Elementary School,71%,86%,N/A,95%,87%,96%,81%,98%,96%,92%,N/A,95%
27Q066,Elementary School,P.S. 066 Jacqueline Kennedy Onassis,83%,95%,N/A,94%,90%,97%,81%,96%,96%,92%,N/A,94%
27Q090,Elementary School,P.S. 090 Horace Mann,21%,65%,N/A,87%,83%,89%,86%,91%,89%,93%,N/A,87%
27Q096,Elementary School,P.S. 096,68%,100%,N/A,83%,75%,90%,82%,90%,83%,91%,N/A,82%
27Q097,Elementary School,P.S. 097 Forest Park,39%,71%,N/A,87%,67%,89%,86%,93%,88%,94%,N/A,83%
27Q100,Elementary School,P.S. 100 Glen Morris,76%,63%,N/A,89%,75%,90%,81%,93%,91%,91%,N/A,87%
27Q104,Elementary School,P.S. 104 The Bays Water,24%,85%,N/A,97%,92%,96%,88%,96%,98%,94%,N/A,97%
27Q105,Elementary/Middle,P.S. 105 The Bay School,51%,74%,98%,86%,76%,85%,80%,82%,88%,89%,80%,84%
27Q106,Elementary School,P.S. 106,49%,39%,N/A,62%,59%,68%,77%,65%,65%,90%,N/A,57%
27Q108,Elementary School,P.S. 108 Captain Vincent G. Fowler,79%,99%,N/A,88%,81%,91%,82%,93%,90%,92%,N/A,87%
27Q114,Elementary/Middle,P.S. / M.S. 114 Belle Harbor,58%,85%,95%,85%,68%,89%,85%,91%,84%,84%,88%,85%
27Q123,Elementary School,P.S. 123,76%,89%,N/A,89%,76%,94%,84%,93%,88%,93%,N/A,86%
27Q124,Elementary/Middle,P.S. 124 Osmond A Church,52%,88%,97%,87%,78%,86%,80%,88%,90%,88%,85%,86%
27Q137,Middle School,M.S. 137 America's School of Heroes,31%,70%,95%,88%,82%,91%,74%,82%,90%,88%,80%,89%
27Q146,Elementary/Middle,P.S. 146 Howard Beach,72%,100%,95%,89%,76%,92%,81%,88%,90%,91%,86%,87%
27Q155,Elementary School,P.S. 155,74%,78%,N/A,94%,82%,93%,82%,94%,96%,93%,N/A,91%
27Q183,Elementary/Middle,P.S. 183 Dr. Richard R. Green,36%,71%,91%,77%,60%,83%,79%,82%,81%,89%,82%,72%
27Q197,Elementary School,P.S. 197 The Ocean School,35%,91%,N/A,89%,83%,92%,91%,89%,93%,95%,N/A,88%
27Q202,Middle School,J.H.S. 202 Robert H. Goddard,75%,100%,96%,94%,89%,92%,73%,85%,92%,87%,82%,94%
27Q207,Elementary/Middle,P.S. 207 Rockwood Park,81%,88%,95%,91%,82%,91%,80%,88%,92%,90%,85%,91%
27Q210,Middle School,J.H.S. 210 Elizabeth Blackwell,43%,61%,96%,87%,76%,86%,75%,82%,89%,88%,81%,85%
27Q215,Elementary School,P.S. 215 Lucretia Mott,62%,30%,N/A,96%,86%,N/A,84%,98%,94%,91%,N/A,N/A
27Q223,Elementary School,P.S. 223 Lyndon B. Johnson,83%,75%,N/A,89%,79%,86%,85%,92%,92%,91%,N/A,87%
27Q226,Middle School,J.H.S. 226 Virgil I. Grissom,30%,66%,81%,71%,55%,81%,70%,82%,79%,88%,81%,67%
27Q232,Elementary/Middle,P.S. 232 Lindenwood,87%,84%,99%,91%,84%,93%,80%,93%,93%,92%,92%,89%
27Q253,Elementary School,P.S. 253,73%,90%,N/A,87%,75%,90%,83%,92%,90%,91%,N/A,86%
27Q254,Elementary School,P.S. 254 - The Rosa Parks School,80%,98%,N/A,92%,90%,98%,82%,99%,93%,94%,N/A,93%
27Q260,High School,Frederick Douglass Academy VI High School,16%,88%,83%,72%,72%,80%,70%,76%,82%,82%,74%,76%
27Q261,High School,Voyages Prep - South Queens,48%,100%,76%,99%,96%,95%,81%,95%,96%,86%,95%,99%
27Q262,Middle/High,Channel View School for Research,69%,100%,94%,96%,90%,94%,77%,88%,94%,89%,86%,96%
27Q273,Elementary School,P.S. 273,54%,87%,N/A,91%,90%,93%,88%,96%,95%,94%,N/A,93%
27Q282,Middle School,Knowledge and Power Preparatory Academy VI,54%,69%,100%,74%,66%,78%,83%,87%,84%,94%,84%,71%
27Q297,Middle School,Hawtree Creek Middle School,83%,100%,97%,95%,91%,90%,85%,95%,97%,94%,95%,94%
27Q302,High School,"Queens High School for Information, Research, and Technology",28%,100%,74%,94%,93%,88%,80%,79%,92%,88%,79%,94%
27Q306,Elementary School,New York City Academy for Discovery,60%,78%,N/A,86%,77%,91%,86%,91%,79%,94%,N/A,82%
27Q308,High School,Robert H. Goddard High School of Communication Arts and Technology,63%,87%,92%,95%,92%,86%,71%,87%,94%,88%,84%,94%
27Q309,Middle/High,Academy of Medical Technology: A College Board School,32%,94%,81%,85%,78%,79%,73%,84%,88%,85%,83%,84%
27Q314,High School,Epic High School - South,38%,100%,65%,96%,85%,91%,72%,85%,92%,83%,84%,94%
27Q316,Early Childhood,Queens Explorers Elementary School,100%,100%,N/A,100%,99%,100%,91%,100%,99%,96%,N/A,100%
27Q317,Elementary School,WATERSIDE CHILDREN'S STUDIO SCHOOL,36%,97%,N/A,97%,95%,92%,89%,94%,97%,94%,N/A,96%
27Q318,Middle School,WATERSIDE SCHOOL FOR LEADERSHIP,59%,100%,94%,89%,90%,94%,89%,92%,90%,96%,90%,90%
27Q319,Middle School,VILLAGE ACADEMY,74%,93%,83%,95%,94%,95%,86%,92%,96%,93%,91%,96%
27Q323,Middle/High,Scholars' Academy,69%,98%,94%,96%,93%,93%,79%,92%,95%,93%,89%,95%
27Q324,High School,Rockaway Park High School for Environmental Sustainability,18%,93%,75%,87%,84%,83%,77%,79%,90%,89%,78%,87%
27Q333,Elementary/Middle,Goldie Maple Academy,59%,83%,95%,87%,83%,94%,81%,87%,86%,89%,83%,88%
27Q334,High School,Epic High School - North,11%,50%,60%,99%,95%,94%,74%,83%,93%,83%,83%,98%
27Q351,High School,Rockaway Collegiate High School,15%,64%,36%,78%,73%,77%,72%,77%,81%,86%,74%,78%
27Q362,Elementary School,Wave Preparatory Elementary School,77%,100%,N/A,97%,95%,97%,88%,97%,96%,94%,N/A,97%
27Q400,High School,August Martin High School,25%,64%,54%,80%,73%,86%,69%,75%,79%,78%,73%,81%
27Q475,High School,Richmond Hill High School,24%,53%,63%,75%,62%,86%,66%,79%,80%,80%,79%,74%
27Q480,High School,John Adams High School,17%,83%,63%,80%,75%,84%,68%,76%,83%,83%,74%,80%
27Q487,YABC,John Adams Yabc,35%,100%,74%,97%,88%,87%,78%,91%,96%,90%,90%,94%
27Q650,High School,"High School for Construction Trades, Engineering and Architecture",18%,80%,89%,91%,83%,82%,76%,88%,91%,90%,85%,88%
28Q008,Middle School,J.H.S. 008 Richard S. Grossley,41%,76%,78%,90%,74%,88%,75%,83%,87%,87%,81%,86%
28Q040,Elementary School,P.S. 040 Samuel Huntington,79%,100%,N/A,91%,89%,96%,88%,88%,91%,94%,N/A,90%
28Q048,Elementary School,P.S. 048 William Wordsworth,58%,100%,N/A,91%,86%,92%,87%,92%,94%,94%,N/A,91%
28Q050,Elementary School,P.S. 050 Talfourd Lawn Elementary School,14%,58%,N/A,84%,80%,93%,84%,90%,89%,91%,N/A,85%
28Q054,Elementary School,P.S. 054 Hillside,57%,90%,N/A,94%,85%,98%,84%,98%,92%,92%,N/A,93%
28Q055,Elementary School,P.S. 055 Maure,84%,100%,N/A,92%,87%,92%,81%,96%,96%,90%,N/A,93%
28Q072,Middle School,Catherine & Count Basie Middle School 72,28%,85%,81%,79%,72%,78%,73%,73%,82%,86%,71%,78%
28Q080,Elementary School,P.S. 080 Thurgood Marshall Magnet,62%,71%,N/A,75%,67%,90%,85%,78%,80%,92%,N/A,73%
28Q082,Elementary School,P.S. 082 Hammond,54%,82%,N/A,77%,61%,86%,78%,89%,80%,90%,N/A,75%
28Q086,Elementary School,P.S. Q086,74%,93%,N/A,90%,81%,92%,86%,96%,93%,94%,N/A,90%
28Q099,Elementary School,P.S. 099 Kew Gardens,55%,92%,100%,95%,89%,94%,82%,90%,94%,91%,85%,95%
28Q101,Elementary School,P.S. 101 School in the Gardens,81%,97%,97%,92%,89%,96%,89%,94%,94%,94%,92%,93%
28Q117,Elementary School,P.S. 117 J. Keld / Briarwood School,67%,78%,N/A,88%,76%,90%,83%,94%,90%,91%,N/A,87%
28Q121,Elementary School,P.S. 121 Queens,72%,100%,N/A,96%,91%,95%,86%,98%,95%,93%,N/A,96%
28Q139,Elementary School,P.S. 139 Rego Park,100%,100%,N/A,87%,76%,91%,85%,95%,90%,94%,N/A,87%
28Q140,Elementary School,P.S. 140 Edward K Ellington,73%,89%,N/A,86%,72%,87%,81%,91%,83%,87%,N/A,84%
28Q144,Elementary School,P.S. 144 Col Jeromus Remsen,64%,96%,N/A,94%,88%,95%,88%,95%,95%,92%,N/A,94%
28Q157,Middle/High,J.H.S. 157 Stephen A. Halsey,47%,85%,97%,89%,84%,91%,72%,84%,90%,87%,82%,90%
28Q160,Elementary School,P.S. 160 Walter Francis Bishop,45%,71%,N/A,91%,86%,93%,85%,93%,96%,94%,N/A,92%
28Q161,Elementary School,P.S. 161 Arthur Ashe School,76%,100%,N/A,93%,91%,97%,83%,97%,95%,93%,N/A,94%
28Q167,Middle/High,Metropolitan Expeditionary Learning School,47%,84%,87%,96%,93%,87%,80%,85%,93%,88%,82%,95%
28Q174,Elementary School,P.S. 174 William Sidney Mount,50%,63%,N/A,81%,71%,94%,83%,91%,80%,90%,N/A,81%
28Q175,Elementary School,P.S. 175 The Lynn Gross Discovery School,70%,61%,N/A,92%,81%,92%,88%,91%,95%,93%,N/A,90%
28Q182,Elementary School,P.S. 182 Samantha Smith,71%,66%,N/A,86%,72%,87%,86%,88%,91%,93%,N/A,84%
28Q190,Middle/High,J.H.S. 190 Russell Sage,39%,84%,96%,81%,72%,86%,70%,80%,82%,84%,77%,81%
