DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
84K781,Success Academy Charter School - Bergen Beach - New York 4,21%,62%,N/A,89%,86%,93%,96%,90%,89%,94%,N/A,88%
84K782,Bedford Stuyvesant New Beginnings Charter School,17%,14%,94%,62%,66%,79%,84%,65%,74%,88%,66%,67%
84K784,Achievement First North Brooklyn Prep Charter School,39%,64%,N/A,86%,91%,88%,94%,85%,97%,96%,N/A,88%
84K785,Imagine Me Leadership Charter School,44%,96%,N/A,89%,97%,94%,95%,86%,96%,97%,N/A,91%
84K788,Achievement First Linden Elementary School,39%,88%,N/A,84%,87%,87%,93%,85%,91%,94%,N/A,86%
84K789,Compass Charter School,89%,100%,N/A,92%,95%,95%,96%,82%,96%,96%,N/A,91%
84K790,Central Brooklyn Ascend Charter School,36%,68%,N/A,84%,93%,81%,91%,81%,96%,95%,N/A,86%
84K791,Brooklyn Dreams Charter School,0%,16%,1%,53%,57%,55%,86%,62%,73%,N/A,N/A,62%
84K792,The Cultural Arts Academy At Spring Creek Charter School,95%,100%,N/A,83%,79%,81%,94%,79%,92%,95%,N/A,82%
84K793,Bushwick Ascend Charter School,71%,92%,86%,74%,82%,77%,86%,70%,87%,91%,66%,79%
84K796,Lefferts Gardens Charter School,44%,79%,N/A,90%,96%,94%,94%,84%,93%,96%,N/A,90%
84K797,New Hope Academy Charter School,41%,83%,N/A,72%,73%,86%,88%,78%,74%,89%,N/A,74%
84K803,Brooklyn Lab Charter School,20%,64%,73%,80%,88%,87%,86%,64%,86%,91%,66%,85%
84K888,Achievement First Brooklyn High School,18%,50%,78%,80%,80%,86%,82%,70%,82%,90%,70%,80%
84K969,Uncommon Preparatory Charter High School,24%,100%,93%,85%,88%,88%,87%,78%,85%,91%,80%,85%
84K979,Uncommon Collegiate Charter High School,28%,67%,83%,90%,88%,90%,77%,78%,87%,90%,77%,87%
84K989,Achievement First University Prep,17%,45%,82%,80%,85%,81%,84%,73%,81%,88%,75%,79%
84K999,Uncommon Charter High School,26%,89%,88%,89%,89%,83%,85%,75%,90%,91%,74%,89%
84M065,Democracy Prep Endurance Charter School,66%,95%,97%,95%,94%,91%,84%,73%,91%,88%,73%,96%
84M068,Kipp Washington Heights Middle School,53%,41%,88%,92%,92%,90%,90%,79%,94%,93%,79%,93%
84M080,Manhattan Charter School Ii,88%,100%,N/A,77%,76%,82%,87%,76%,90%,93%,N/A,77%
84M085,Global Community Charter School,92%,91%,N/A,65%,67%,60%,93%,62%,77%,94%,N/A,62%
84M100,Neighborhood Charter School Of Harlem,100%,95%,N/A,89%,92%,93%,96%,90%,92%,97%,N/A,90%
84M168,East Harlem Scholars Academy Charter School Ii,71%,96%,N/A,78%,82%,82%,94%,79%,91%,93%,N/A,81%
84M170,Success Academy Hell'S Kitchen (Manhattan 2),31%,45%,N/A,86%,90%,93%,96%,86%,94%,94%,N/A,89%
84M174,Success Academy Union Square (Manhattan 1),43%,54%,N/A,95%,94%,98%,98%,95%,98%,96%,N/A,96%
84M186,Harlem Hebrew Language Charter School,79%,94%,N/A,87%,89%,91%,91%,84%,92%,90%,N/A,88%
84M202,Great Oaks Charter School,48%,100%,96%,68%,77%,75%,84%,60%,79%,90%,60%,74%
84M265,Success Academy Charter School - Washington Heights - New York 1,25%,29%,N/A,72%,79%,99%,93%,92%,86%,98%,N/A,81%
84M279,The Opportunity Charter School,31%,85%,93%,59%,74%,73%,84%,63%,82%,92%,68%,66%
84M284,Harlem Children'S Zone Promise Academy 1 Charter School,63%,75%,74%,74%,85%,77%,82%,67%,86%,88%,69%,80%
84M320,Manhattan Charter School,94%,81%,N/A,90%,94%,95%,90%,85%,98%,94%,N/A,92%
84M329,Harlem Link Charter School,23%,56%,N/A,74%,79%,81%,94%,65%,90%,93%,N/A,75%
84M330,Girls Preparatory Charter School Of New York,72%,100%,99%,85%,87%,85%,91%,71%,85%,91%,70%,88%
84M335,Harlem Village Academy Leadership Charter School,46%,86%,77%,56%,64%,75%,87%,62%,81%,90%,67%,64%
84M336,Kipp Infinity Charter School,45%,61%,93%,89%,95%,92%,93%,83%,94%,95%,84%,93%
84M337,New York Center For Autism Charter School,97%,100%,N/A,89%,95%,82%,97%,90%,90%,92%,N/A,90%
84M341,Harlem Children'S Zone Promise Academy Ii Charter School,77%,86%,91%,79%,86%,81%,86%,70%,87%,90%,70%,85%
84M350,Democracy Prep Charter School,59%,97%,87%,92%,94%,90%,85%,73%,91%,90%,74%,94%
84M351,Success Academy Charter School - Harlem 1,11%,12%,0%,87%,87%,93%,94%,76%,93%,93%,N/A,88%
84M353,New Heights Academy Charter School,34%,93%,90%,86%,90%,85%,87%,71%,89%,91%,72%,88%
84M382,Dream Charter School,78%,100%,97%,80%,87%,83%,93%,74%,89%,92%,73%,86%
84M384,Success Academy Charter School - Harlem 2,9%,17%,0%,80%,87%,91%,95%,87%,94%,93%,N/A,87%
84M385,Success Academy Charter School - Harlem 3,22%,25%,0%,94%,92%,94%,93%,99%,97%,95%,N/A,95%
84M386,Success Academy Charter School - Harlem 4,15%,27%,0%,87%,95%,94%,96%,86%,93%,92%,N/A,93%
84M388,St. Hope Leadership Academy Charter School,92%,97%,98%,83%,86%,84%,83%,89%,91%,88%,89%,86%
84M430,The Equity Project Charter School (Tep),89%,97%,99%,88%,93%,93%,90%,85%,94%,93%,85%,92%
84M433,Renaissance Charter High School For Innovation,54%,95%,84%,73%,83%,72%,79%,68%,86%,87%,71%,77%
84M478,Inwood Academy For Leadership Charter School,71%,81%,81%,69%,77%,76%,86%,67%,88%,92%,71%,74%
84M481,Democracy Prep Harlem Charter School,46%,91%,85%,69%,79%,79%,88%,68%,81%,90%,70%,76%
84M482,Success Academy Charter School - Harlem 5,12%,24%,0%,69%,79%,83%,94%,68%,87%,96%,N/A,73%
84M483,New York French American Charter School,80%,84%,N/A,68%,83%,87%,90%,76%,78%,90%,N/A,77%
84M518,East Harlem Scholars Academy Charter School,93%,100%,N/A,76%,85%,77%,91%,75%,90%,94%,N/A,79%
84M522,Broome Street Academy Charter School,33%,97%,87%,78%,84%,78%,86%,65%,84%,88%,67%,80%
84M523,Success Academy Charter School - Upper West,30%,47%,N/A,96%,93%,97%,98%,91%,98%,96%,N/A,95%
84M702,Sisulu-Walker Charter School Of Harlem,70%,72%,N/A,77%,87%,85%,94%,75%,89%,97%,N/A,80%
84M704,Harbor Science And Arts Charter School,66%,63%,92%,89%,97%,90%,92%,85%,93%,92%,86%,93%
84M705,Amber Charter School,93%,100%,N/A,94%,94%,89%,91%,87%,96%,93%,N/A,92%
84M707,John V. Lindsay Wildcat Academy Charter School,68%,46%,72%,94%,99%,92%,93%,93%,99%,98%,95%,95%
84M708,Harlem Prep Charter School,87%,100%,99%,77%,86%,86%,87%,67%,83%,91%,68%,82%
84M709,Harlem Village Academy Charter School,52%,78%,95%,76%,77%,80%,88%,69%,86%,91%,69%,80%
84M726,Kipp Star College Prep Charter School,47%,85%,94%,86%,91%,81%,95%,67%,90%,96%,69%,88%
84M861,Future Leaders Institute Charter School,42%,59%,91%,88%,90%,85%,93%,72%,91%,94%,71%,91%
84M888,Harlem Village Academy Hs,12%,39%,30%,44%,51%,68%,71%,51%,70%,87%,58%,49%
84M999,Kipp Nyc College Prep,8%,73%,42%,88%,91%,86%,88%,83%,94%,95%,85%,88%
84Q083,Central Queens Academy Charter School,83%,97%,86%,87%,91%,93%,86%,86%,94%,94%,86%,90%
84Q170,Peninsula Preparatory Academy Charter School,100%,100%,N/A,82%,87%,88%,95%,74%,92%,95%,N/A,83%
84Q298,Middle Village Prep Charter School,40%,65%,98%,81%,81%,85%,88%,73%,88%,92%,74%,82%
84Q304,Voice Charter School Of New York,65%,100%,100%,75%,83%,75%,86%,61%,84%,92%,60%,78%
84Q320,New Visions Charter High School For Advanced Math And Science Iv,64%,73%,98%,85%,97%,83%,90%,68%,91%,91%,69%,90%
84Q321,Growing Up Green Charter School,79%,100%,95%,83%,88%,84%,94%,74%,90%,95%,74%,86%
84Q337,Success Academy Charter School - Rosedale - New York 5,29%,76%,N/A,95%,96%,94%,98%,95%,95%,96%,N/A,96%
84Q339,Success Academy Charter School - Springfield Gardens - New York 6,28%,85%,N/A,75%,81%,86%,94%,80%,91%,93%,N/A,81%
84Q340,Challenge Preparatory Charter School,59%,76%,100%,73%,77%,79%,91%,66%,85%,91%,65%,77%
84Q341,Riverton Street Charter School,53%,30%,0%,58%,62%,64%,91%,66%,83%,92%,N/A,64%
84Q342,Rochdale Early Advantage Charter School,62%,71%,N/A,92%,98%,94%,93%,91%,95%,94%,N/A,94%
84Q359,Academy Of The City Charter School,67%,95%,N/A,88%,92%,95%,94%,93%,93%,95%,N/A,91%
84Q704,Merrick Academy - Queens Public Charter School,53%,42%,N/A,74%,81%,81%,92%,66%,84%,93%,N/A,74%
84Q705,Renaissance Charter School,59%,70%,99%,81%,83%,85%,90%,70%,87%,93%,71%,83%
84Q706,Our World Neighborhood Charter School,45%,83%,95%,90%,93%,85%,93%,70%,90%,94%,68%,92%
84R012,New Ventures Charter School,54%,100%,89%,97%,100%,83%,92%,81%,99%,97%,84%,N/A
84R067,John W. Lavelle Preparatory Charter School,72%,100%,98%,90%,95%,85%,86%,67%,92%,92%,69%,92%
84R071,Staten Island Community Charter School,76%,94%,N/A,95%,95%,94%,93%,93%,95%,91%,N/A,96%
84R073,New World Preparatory Charter School,90%,97%,99%,81%,91%,88%,86%,67%,86%,94%,66%,87%
84X124,Children’S Aid College Prep Charter School,82%,76%,N/A,89%,97%,90%,92%,83%,96%,96%,N/A,90%
84X133,Icahn Charter School 6,94%,87%,N/A,95%,97%,97%,89%,86%,98%,94%,N/A,94%
84X165,Grand Concourse Charter School,80%,100%,100%,91%,95%,96%,89%,97%,94%,92%,99%,94%
84X177,Mott Hall Charter School,47%,80%,98%,71%,77%,86%,84%,75%,88%,92%,78%,76%
84X185,Bronx Lighthouse Charter School,80%,80%,75%,83%,87%,82%,81%,70%,87%,88%,71%,86%
84X200,Roads Charter School Ii,2%,72%,6%,71%,80%,70%,72%,54%,67%,N/A,58%,71%
84X202,New Visions Charter High School For Advanced Math And Science Ii,46%,100%,90%,77%,90%,82%,81%,70%,88%,88%,73%,84%
84X208,New Visions Charter High School For The Humanities Ii,39%,95%,72%,73%,84%,77%,78%,64%,86%,86%,67%,79%
84X233,Family Life Academy Charter School Ii,60%,42%,N/A,91%,92%,97%,93%,88%,98%,95%,N/A,92%
84X255,Bronx Charter School For Excellence,100%,93%,100%,77%,79%,86%,89%,76%,86%,92%,76%,80%
84X256,Heketi Community Charter School,89%,100%,N/A,91%,95%,90%,95%,76%,96%,96%,N/A,89%
84X258,Tech International Charter School,42%,100%,95%,83%,92%,79%,87%,70%,89%,93%,73%,85%
84X309,South Bronx Charter School For International Cultures And The Arts,79%,100%,N/A,81%,87%,91%,87%,86%,90%,92%,N/A,85%
84X345,Hyde Leadership Charter School,72%,88%,86%,69%,79%,75%,92%,66%,86%,94%,69%,76%
84X346,South Bronx Classical Charter School,94%,85%,97%,80%,86%,86%,87%,62%,83%,93%,62%,82%
84X347,International Leadership Charter High School,70%,63%,44%,78%,79%,80%,90%,63%,82%,94%,62%,80%
84X362,Icahn Charter School 7,78%,85%,N/A,85%,88%,80%,86%,73%,94%,89%,N/A,84%
84X364,South Bronx Classical Charter School Ii,89%,96%,N/A,72%,84%,87%,89%,78%,89%,94%,N/A,80%
84X378,Icahn Charter School 2,66%,100%,0%,94%,97%,96%,84%,95%,98%,90%,N/A,96%
84X380,Success Academy Charter School - Bronx 3,24%,84%,N/A,87%,90%,94%,96%,90%,94%,94%,N/A,91%
84X387,Brilla College Prep Charter School,88%,97%,N/A,94%,97%,94%,95%,92%,98%,96%,N/A,95%
84X389,Bronx Global Learning Institute For Girls Charter School,89%,92%,100%,67%,72%,76%,81%,70%,80%,87%,70%,71%
84X393,University Prep Charter High School,30%,100%,96%,81%,90%,85%,73%,74%,90%,86%,77%,85%
84X394,Mott Haven Academy Charter School,86%,94%,N/A,88%,94%,86%,93%,82%,92%,97%,N/A,87%
84X395,"Nyc Charter High School For Architecture, Engineering And Construction Industries (Aeci)",82%,100%,98%,78%,85%,83%,79%,67%,85%,88%,68%,83%
84X398,Bronx Community Charter School,76%,100%,100%,91%,92%,92%,96%,88%,95%,95%,90%,90%
84X407,Bronx Charter School For Children,44%,61%,N/A,87%,89%,92%,91%,81%,93%,94%,N/A,87%
84X419,Bronx Academy Of Promise Charter School,100%,90%,100%,83%,88%,89%,90%,89%,92%,93%,90%,87%
84X422,Icahn Charter School 3,64%,97%,100%,88%,88%,86%,85%,79%,88%,88%,79%,88%
84X429,Charter High School For Law And Social Justice,61%,35%,89%,73%,69%,75%,87%,67%,88%,91%,67%,76%
84X460,Atmosphere Charter School,66%,92%,100%,67%,71%,66%,90%,66%,77%,94%,72%,64%
84X461,Metropolitan Lighthouse Charter School,88%,100%,99%,53%,62%,63%,83%,64%,76%,91%,67%,56%
84X464,Success Academy Charter School - Bronx 4 - New York 2,28%,56%,N/A,93%,96%,95%,96%,86%,98%,97%,N/A,92%
84X465,Boys Preparatory Charter School Of New York,77%,83%,N/A,70%,76%,71%,93%,66%,85%,92%,N/A,72%
84X471,American Dream Charter School,87%,100%,91%,86%,93%,96%,97%,91%,96%,99%,93%,90%
84X472,Family Life Academy Charter School Iii,79%,100%,N/A,84%,86%,80%,91%,71%,92%,94%,N/A,81%
84X482,Dr. Richard Izquierdo Health And Science Charter School,85%,100%,99%,72%,85%,79%,86%,71%,86%,92%,74%,79%
84X484,Bronx Charter School For Better Learning Ii,88%,85%,N/A,92%,98%,96%,95%,93%,98%,96%,N/A,95%
84X486,Rosalyn Yalow Charter School,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84X487,Girls Preparatory Charter School Of The Bronx,57%,75%,92%,82%,86%,82%,92%,69%,89%,95%,68%,86%
84X488,The Equality Charter School,93%,97%,98%,81%,89%,81%,87%,65%,89%,91%,68%,85%
84X489,South Bronx Classical Charter School Iii,97%,100%,N/A,95%,95%,95%,92%,93%,97%,95%,N/A,95%
84X491,Academic Leadership Charter School,89%,100%,100%,74%,82%,86%,89%,90%,86%,91%,93%,76%
84X492,South Bronx Early College Academy Charter School,32%,88%,98%,86%,92%,81%,83%,76%,92%,87%,76%,89%
84X493,Success Academy Charter School - Bronx 1,24%,36%,0%,78%,86%,91%,94%,83%,92%,93%,N/A,84%
84X494,Success Academy Charter School - Bronx 2,31%,50%,1%,88%,88%,93%,93%,84%,95%,95%,N/A,89%
84X496,Icahn Charter School 4,100%,90%,95%,87%,96%,92%,94%,88%,95%,96%,89%,91%
84X497,Storefront Academy Charter School,73%,53%,N/A,80%,71%,65%,92%,79%,89%,92%,N/A,76%
84X538,Icahn Charter School 5,64%,69%,100%,89%,93%,93%,87%,84%,92%,93%,79%,91%
84X539,New Visions Charter High School For Advanced Math And Science,28%,100%,73%,80%,91%,81%,76%,65%,85%,87%,67%,84%
84X553,New Visions Charter High School For The Humanities,86%,83%,82%,87%,95%,81%,91%,68%,94%,95%,70%,90%
84X554,New York City Montessori Charter School,17%,38%,N/A,76%,91%,81%,86%,74%,87%,86%,N/A,82%
84X703,Bronx Preparatory Charter School,54%,100%,93%,60%,69%,74%,77%,64%,78%,85%,67%,68%
84X704,Kipp Academy Charter School,45%,53%,81%,83%,86%,80%,89%,62%,86%,92%,63%,84%
84X705,Family Life Academy Charter School,90%,82%,100%,79%,84%,83%,85%,80%,90%,92%,81%,82%
84X706,Harriet Tubman Charter School,82%,81%,87%,92%,97%,90%,94%,77%,91%,96%,74%,95%
84X717,Icahn Charter School,80%,88%,98%,85%,86%,91%,85%,75%,89%,89%,77%,88%
84X718,Bronx Charter School For Better Learning,79%,100%,N/A,89%,93%,93%,94%,87%,95%,94%,N/A,91%
84X730,Bronx Charter School For The Arts,57%,74%,N/A,64%,63%,81%,86%,71%,71%,89%,N/A,65%
KAAE,Adelphi Academy Of Brooklyn,66%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAAS,Associated Beth Rivkah Schools - Preschool,42%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABC,Bais Sarah School,98%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABD,Bais Tziporah,54%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABE,Bais Yaakov D'Chassidei Gur,74%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABF,Bais Yaakov Academy (Elm),19%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABG,Yeshiva Jesode Hatorah,35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABN,"Barkai Foundation, Inc",16%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABP,Battalion Christian Academy,77%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KABU,Be-Er Hagolah Institutes,5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KACI,Bambi Day Care,22%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KADG,Bnos Menachem,53%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KADN,Zion Day Care,77%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KADP,Gan Day Care Center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KADW,Brooklyn Amity School,27%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAET,Dimitrios & Georgia Kaloidis Parichol School Of Holy Cross Greek Orthodox Church,34%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAFB,Epiphany Lutheran School,35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAFO,Good Shepherd School,30%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAFZ,Hidec,66%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAHA,Masores Bais Yaakov,15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAHX,Gateway City Academy,65%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAIN,Phyl'S Academy,17%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAIT,Prospect Park Yeshiva,6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJD,St. Anselm Catholic Academy,35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJE,St. Athanasius School,33%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJR,Heartshare Human Services Of New York,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJT,St. Frances Cabrini Catholic Academy,15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJW,St Francis Of Assisi,23%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAKF,St Mark School,51%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAKI,St. Peter Catholic Academy,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KALL,St. Gregory The Great Catholic Academy,24%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KALT,The Cheder,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KANO,Yeshivas Boyan Tifereth Mordechai Shlomo,10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KANX,Yeshiva Karlin Stolin,97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAOA,Yeshiva Headstart 40Th Street,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAOP,Yeshivah Of Flatbush,10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAOQ,Yeshiva Of Kings Bay,42%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAOV,Yeshiva Ohr Shraga,19%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAPB,Yeshivat Shaare Torah,16%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAPM,Yeshiva Toras Emes,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAPR,Talmud Torah Crown Heights Yeshivah,15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KARQ,Parkway School,18%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KARS,Action Nursery,62%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASC,Brevoort Children'S Center,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASG,Edwards L. Cleaveland,31%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASI,Cortelyou Academy,61%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASJ,Bcs Duffield Children'S Center,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASR,Glennwood Avenue Head Start,35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KASZ,East Midwood Hebrew Day School,27%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KATG,Ahrc Francis Of Paola Early Learning Center,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KATR,Warbasse Nursery School,57%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KATZ,Neptune Avenue Head Start,53%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAUK,Nyl/Woc Midwood,10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAVQ,Hebrew Educational Society,30%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAWC,"Hanover Place Child Care Center, Llc",39%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAWQ,M.A.C.A.D.E.M.Y.,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAWX,Pal World Of Creative Experiences Head Start,23%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAXC,Bishop Sexton,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAXU,University Settlement Children'S Corner,10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAXW,"Highlights Academy, Inc.",56%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAYF,Pal La Puerta Abierta,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAYL,"Puerto Rican Family Institute, Inc.",54%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAYS,Hawthorne Corners Day Care Center,29%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAYU,"Bambi Day Care Center, Inc.",22%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAZC,Talmud Torah Ohr Moshe,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAZM,St. Francis Xavier,24%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAZQ,Bedford Stuyvesant Early Childhood Development Center,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAZT,Bushwick United Hdfc 1,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAZZ,Cornerstone Day Care Center,12%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBAE,Block Institute,48%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBAI,Guild For Exceptional Children,70%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBAW,Bet Yaakov Ohr Sarah,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBAY,Bet Yaakov Ateret Torah,15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBAZ,Nat Azarow Children'S Center,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBBB,Bambi Day Care Iv,36%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBBE,Pal Carey Gardens,40%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBBL,Saint Peter'S Preschool,86%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBBO,Khyle Brenaj Kiddie Daycare Inc.,21%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBBY,Be Above #27,28%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBCV,"Tabernacle Church Of God Day Care Center, Inc",15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDA,Urban Strategies 1,23%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDC,Cypress Hills Ccc,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDJ,Cortelyou Academy,89%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDN,"Raven'S Early Childhood Center, Inc.",51%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDT,Mary Bobb Learning Academy,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBDX,B'Above Worldwide Institute - Tomer Devorah,13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBEB,New Life Child Development Center 4,41%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBEP,Bca Day Care Center,71%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
